Device,Replicate,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,27.5991,0.833333,0.0833333,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,27.6408,0.625,0.0833333,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,27.7658,1.875,0.0833333,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,28.0158,5.5,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,28.2241,0.916667,0.0416667,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,28.8075,0.875,0.0416667,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,28.9325,0.333333,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,29.0158,0.958333,0.0416667,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::1,PX632::virgin::auxin::62::20::OP50-1,a::1,1,a,1.06875,3.27187,1.825,1.85,PX632,auxin_virgin,virgin,auxin,62,20,20,OP50-1,,,,,1,30.0158,3.16667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,30.2241,1.375,0.0416667,0,1,Objects apparently moving at termination of measurement,,Automated Analysis,Lifespan Machine,,
